Artist,Title
Michael W. Smith,Anthem For Christmas
Ufo,Cowboy Joe
Faces,I Feel So Good
Bing Crosby,Snow
Reo Speedwagon,Lightning
Harry Belafonte,Angelina
Aerosmith,Blind Man
Insane Clown Posse,Bizzar
Pogues,Recruiting Sergeant
Face To Face,No Authority
Diana Ross,Cryin' My Heart Out For You
James Taylor,Believe It Or Not
King Crimson,Islands
George Harrison,You
Rush,Ghost Rider
Frank Zappa,Dong Work For Yuda
Lana Del Rey,Yayo
Gloria Estefan,I've Grown Accustomed To His Face
Jimi Hendrix,Woodstock Festival
Megadeth,The Skull Beneath The Skin
Starship,Blaze Of Love
Poison,Face The Hangman
ABBA,The Name Of The Game
Enrique Iglesias,Heartbreaker
Ellie Goulding,Don't Panic
Uriah Heep,The Park
Supertramp,Where I Stand
Youngbloodz,Tequila
ABBA,Cassandra
Emmylou Harris,All The Roadrunning
Pharrell Williams,Come Get It Bae
Human League,These Are The Days
Luther Vandross,Since I Lost My Baby
John Mellencamp,The Breakout
Kelly Family,Maximum
Etta James,Again
Uriah Heep,Against The Odds
Hank Williams Jr.,I Don't Care (If Tomorrow Never Comes)
Avril Lavigne,Fall Into You
Carly Simon,Darkness 'til Dawn
Mazzy Star,Hair And Skin
Rainbow,Freedom Fighter
Marianne Faithfull,Come And Stay With Me
Avril Lavigne,Kathy's Song
John Waite,Straight To Your Heart
Marianne Faithfull,Kissin' Time
Tiffany,Call Me
Kiss,Dance All Over Your Face
Linda Ronstadt,Don't Cry Now
Marilyn Manson,Slutgarden
Yngwie Malmsteen,The Sails Of Charon
Hillsong,Open My Eyes
America,Goodbye
Radiohead,I Am A Wicked Child
Kyla,Wait For You
Travis,J. Smith
Christina Aguilera,Genie In A Bottle
Phish,Carolina
George Jones,D-I-V-O-R-C-E
Frank Sinatra,Don't Be A Do-badder (Finale)
Z-Ro,Look At Me
Dusty Springfield,Blind Sheep
Otis Redding,You Left The Water Running
Incognito,Don't You Worry 'bout A Thing
Nine Inch Nails,The Fragile
Rolling Stones,I Just Want To Make Love To You
Janis Joplin,The Bottom Line
Nine Inch Nails,God Given
Billy Joel,Through The Long Night
Garth Brooks,Long Neck Bottle
Black Sabbath,Virtual Death
Joy Division,Something Must Break
Waterboys,In Search Of A Rose
INXS,Never Tear Us Apart
Hillsong United,All I Do
Kris Kristofferson,Daddy's Song
Lionel Richie,One World
Cake,The Winter
Fall Out Boy,Twin Skeletons
Yeah Yeah Yeahs,Sweets
Everclear,Wonderful
Loretta Lynn,Silver Bells
Lucky Dube,Put A Little Love
Misfits,Rat Fink
Scorpions,Life's Like A River
Natalie Cole,This Will Be
Genesis,The Serpent
Michael Bolton,Love Is A Wonderful Thing
Metallica,Blitzkrieg
Our Lady Peace,The End Is Where We Begin
Sting,Mad About You
Hanson,Dream Girl
Cinderella,In From The Outside
Van Morrison,I Can Only Give You Everything
Devo,Underpressure
Frankie Laine,There Must Be A Reason
The White Stripes,I Fought Piranhas
Marilyn Manson,Insect Pins
Emmylou Harris,K-S-O-S
Journey,Next
Doobie Brothers,White Sun
Johnny Cash,Honky-Tonk Girl
Omd,Tesla Girls
Opeth,April Ethereal
Whitney Houston,You Light Up My Life
Moody Blues,One Step Into The Light
Mazzy Star,Asleep From Day
Jason Mraz,God Rests In Reason
Barbra Streisand,Glad To Be Unhappy
Luther Vandross,Every Year Every Christmas
Emmylou Harris,Heaven Ain't Ready For You Yet
Michael Jackson,Human Nature
Harry Belafonte,Green Grow The Lilacs
Devo,Disco Dancer
Hank Williams,Honky Tonkin'
Rolling Stones,Andrew's Blues
Rolling Stones,Driving Too Fast
Kelly Clarkson,Dirty Little Secret
Depeche Mode,The Landscape Is Changing
Beautiful South,Speak To Me
Wishbone Ash,Pay The Price
Dire Straits,Millionaire Blues
Iggy Pop,To Belong
The Script,Exit Wounds
Utopia,Alone
Lou Reed,I Wanna Be Black
Counting Crows,St. Robinson In His Cadillac Dream
Aerosmith,Under My Skin
Reo Speedwagon,Love In The Future
Oingo Boingo,Go Away
Steely Dan,Pretzel Logic
Lana Del Rey,Bad Disease
Rammstein,Heartache
Mary Black,Without The Fanfare
Kyla,I Don't Want You To Go
Vanessa Williams,The Right Stuff
John Legend,Sin City
Joni Mitchell,Dancin' Clown
Townes Van Zandt,You Are Not Needed Now
Black Sabbath,Iron Man
The Monkees,Counting On You
Michael W. Smith,Worth It All
J Cole,Can I Holla At Ya
Cliff Richard,Magic Is The Moonlight
Raffi,This Little Light Of Mine
Warren Zevon,Veracruz
Lionel Richie,Love Will Conquer All
Sia,Death By Chocolate
Diana Ross,More Today Than Yesterday
Alison Krauss,Every Time You Say Goodbye
New Order,Paradise
Hillsong United,I Will Never Be The Same Again
Diana Ross,I'm Gonna Let My Heart Do The Walking
Leann Rimes,Nothin' New Under The Moon
The Monkees,Heart And Soul
Pat Benatar,Le Bel Age
Donna Summer,On The Radio
Owl City,Rugs From Me To You
Chris Brown,Mona Lisa
P!nk,There You Go
Westlife,Love Crime
Devo,Mongoloid
Matt Redman,King Of Wonders
Celine Dion,Beautiful Boy
Kylie Minogue,Chocolate
Faith Hill,I Think I Will
Young Jeezy,Standing Ovation
Faith Hill,The Hard Way
Kenny Rogers,"He Will, She Knows"
Mariah Carey,"4 Real, 4 Real (Feat. Da Brat)"
Neil Diamond,Mary's Little Boy Child
Hanson,Penny And Me
Loretta Lynn,Secret Love
Howard Jones,It Just Doesn't Matter
George Strait,Do The Right Thing
Ramones,Let's Go
John Martyn,Man In The Station
Steely Dan,Janie Runaway
Tiffany,Our Love
Lynyrd Skynyrd,Low Down Dirty
Prince,Digital Garden
Lil Wayne,Grown Man
Status Quo,Antique Angelique
Loretta Lynn,Harp With Golden Strings
Religious Music,Knockin' On Heaven's Door
Crowded House,Say That Again
Nazareth,Whatever You Want Babe
Jennifer Lopez,Come Over
Warren Zevon,Hasten Down The Wind
Yngwie Malmsteen,Legion Of The Damned
Dave Matthews Band,Steady As We Go
Smiths,Vicar In A Tutu
Noa,Hi
Nitty Gritty Dirt Band,Cadillac Ranch
Eurythmics,This Is The House
David Allan Coe,If I Could Climb The Walls Of This Bottle
Moody Blues,Bless The Wings
Pet Shop Boys,Later Tonight
Oasis,Untitled 2
Thin Lizzy,Borderline
Gucci Mane,El Chapo
Cliff Richard,Great Balls Of Fire
NOFX,Kill All The White Man
Frank Sinatra,Blues In The Night
Kiss,Baby Driver
Jason Mraz,Too Much Food
Stone Roses,Standing Here
Nine Inch Nails,My Violent Heart
Poison,Rockstar
Adele,Many Shades Of Black
Zebra,Bears
Beach Boys,No-go Showboat
Weird Al Yankovic,I'm So Sick Of You
Westlife,Back At One
Queensryche,Prophecy
Indiana Bible College,He Just Cannot Fail
Waylon Jennings,Heartaches For A Dime
Widespread Panic,Nobody's Loss
Kenny Chesney,Island Boy
Randy Travis,I'll Be Right Here Loving You
Judas Priest,Visions
Squeeze,Piccadilly
Venom,Nightmare
ZZ Top,Party On The Patio
George Strait,Cow Town
Procol Harum,A Rum Tale
Insane Clown Posse,In The Haughhh!
Jose Mari Chan,Please Be Careful With My Heart
Marianne Faithfull,Great Expectations
Nina Simone,Just Like A Woman
Squeeze,Satisfied
You Am I,Minor Byrd
Supertramp,Little By Little
Warren Zevon,Genius
Natalie Grant,Always Be Your Baby
Jimi Hendrix,May This Be Love (Waterfall)
Indigo Girls,Power Of Two
O.A.R.,52-50
Don Moen,Shout To The Lord
Bob Dylan,"Going, Going, Gone"
Leonard Cohen,Field Commander Cohen
Kris Kristofferson,I Got A Life Of My Own
Steely Dan,Everyone's Gone To The Movies
Tim McGraw,Lookin' For That Girl
Chris Brown,100 Bottles
Gordon Lightfoot,Race Among The Ruins
Louis Armstrong,Go Down Moses
Manowar,Fight For Freedom
Doobie Brothers,The Master
Paul Simon,Father And Daughter
Clash,White Riot
Etta James,Lovesick Blues
Johnny Cash,I Walk The Line
'n Sync,More Than A Feeling
Cher,I'd Rather Belive In You
'n Sync,Bringin' Da Noise
Marianne Faithfull,Mud Slime Slim
Roy Orbison,I've Been Loving You Too Long
Red Hot Chili Peppers,Knock Me Down
Iron Maiden,Moonchild
Tragically Hip,Trickle Down
America,Molten Love
Judy Garland,You Go To My Head
Bob Seger,Good For Me
Leann Rimes,Can't Fight The Moonlight
Emmylou Harris,I Ain't Living Long Like This
Marianne Faithfull,Something Better
Kenny Chesney,All I Want For Christmas Is A Real Good Tan
Wu-Tang Clan,Redbull
LL Cool J,Milky Cereal
Leonard Cohen,To Love Somebody
Grateful Dead,Mission In The Rain
The Killers,Be Still
America,Someday Woman
Pat Benatar,Papa's Roses
Hank Williams Jr.,Mr Lincoln
Gary Numan,Ancients
Marianne Faithfull,Jaberwock
Eric Clapton,Love Don't Love Nobody
Celine Dion,I'm Loving Every Moment With You
Xiu Xiu,Baby Captain
Gloria Gaynor,It's Raining Men
Ed Sheeran,Everything Has Changed
Joni Mitchell,The Boho Dance
Israel,Freak Tonight
Bread,Anyway You Want Me
J Cole,Lights Please
Pretenders,I Hurt You
Hollies,Lucille
ABBA,I Am Just A Girl
Tina Turner,Crazy 'bout You Baby
Tom Jones,I'm Counting On You
Jackson Browne,Running On Empty
Hank Williams Jr.,If You Don't Like Hank Williams
Bob Seger,Mainstreet
Bon Jovi,Bed Of Roses
Billy Joel,Stop In Nevada
Queen,Body Language
Howard Jones,What Can I Say?
U2,One Tree Hill
Gordon Lightfoot,I'll Prove My Love
Proclaimers,One Too Many
Bon Jovi,Can't Help Falling In Love
Gary Valenciano,Harvest For The World
Michael Buble,Till Then
Arlo Guthrie,Grocery Blues
Leo Sayer,Work
Lenny Kravitz,All My Life
Eurythmics,Happy To Be Here
Devo,Ton O' Love
Procol Harum,Quite Rightly So
Sia,Stories
Marianne Faithfull,Mack The Knife
Quietdrive,15 Days Tomorrow
Amy Grant,Christmas Can't Be Very Far Away
Michael Jackson,Call On Me
System Of A Down,B.Y.O.B.
Leonard Cohen,The Lost Canadian
Indigo Girls,I'll Be There
Lady Gaga,Nothing On
Bryan White,How Lucky I Am
Who,Relax
Elvis Presley,Fort Lauderdale Chamber Of Commerce
Kanye West,Only One
Nick Cave,Darker With The Day
George Michael,Back To Life
Tom Jones,Once Upon A Time
Wyclef Jean,Three Nights In Rio
X Japan,Alive
Van Morrison,Hard Nose The Highway
Rascal Flatts,Feels Like Today
Leann Rimes,Light The Fire Within
Glen Campbell,Somebody Like That
'n Sync,Give In To Me
Tragically Hip,Save The Planet
Cheap Trick,My Obsession
Dolly Parton,Barbara On Your Mind
Bob Rivers,7-11 (Seven Eleven)
Conway Twitty,Crazy Arms
Celine Dion,Because You Loved Me
Pet Shop Boys,Opportunities
Lady Gaga,Angel Down
Ray Charles,I Want To Talk About You
Planetshakers,I'm Forever Yours
Stevie Ray Vaughan,Little Wing
Townes Van Zandt,"Sixteen Summers, Fifteen Falls"
Ice Cube,In The Late Night Hour
Grease,We Go Together
O.A.R.,Whatever Happened
Noa,Again And Again
Natalie Cole,Someone That I Used To Love
Eric Clapton,Have You Heard
Lady Gaga,Kaboom
Green Day,Christian's Inferno
Donna Summer,People People
Hollies,Boys In The Band
Erasure,Crown Of Thorns
The Killers,Battle Born
Modern Talking,I'm So Much In Love
Oasis,My Sister Lover
Doris Day,Let It Ring
Status Quo,Backwater
Quicksilver Messenger Service,I Found Love
Who,Summertime Blues
Hank Snow,Linda Lou
Taylor Swift,Sweeter Than Fiction
Loretta Lynn,Cry Cry Cry
Ne-Yo,The Lady In My Life
Def Leppard,Sorrow Is A Woman
Robbie Williams,80's
Hank Snow,I Ain't Been Anywhere
Tori Amos,Apollo's Frock
Irving Berlin,You Can't Brush Me Off
Erasure,Stop!
Violent Femmes,Black Girls
David Bowie,Gospel According To Tony Day
Alabama,The Blessings
Pearl Jam,Down
Def Leppard,Good Morning Freedom
Lil Wayne,Bring It Back
Ella Fitzgerald,Dream A Little Dream Of Me
Rolling Stones,Fortune Teller
Savage Garden,Universe
Nina Simone,If He Changed My Name
Jason Mraz,It's Gonna Be A Good Day
Rihanna,Why Am I So In Love
Steely Dan,My Old School
George Harrison,It's Johnny's Birthday
Ray Charles,Bluesette
Omd,The Messerschmitt Twins
Metallica,Battery
Gary Numan,We Have A Technical
Reba Mcentire,Bad For My Own Good
Vangelis,Blush Response
Westlife,I'll See You Again
Conway Twitty,Hey Miss Ruby
Yello,No More Roger
Fabolous,Make U Mine
Ian Hunter,Standin' In My Light
Carly Simon,No Secrets
Lynyrd Skynyrd,The Seasons
Nitty Gritty Dirt Band,The Moon Just Turned Blue
Beach Boys,I'm Waiting For The Day
Eurythmics,Revenge
Modern Talking,"Should I, Would I, Could I"
Guns N' Roses,Double Talkin' Jive
Utopia,Hammer In My Heart
Willie Nelson,Afraid
Michael Bolton,These Eyes
Michael Buble,Fever
Tim McGraw,Over And Over
Rod Stewart,Everything I Own
Gloria Estefan,Anything For You
Cheap Trick,This Time Around
Allman Brothers Band,Sweet Mama
Mary Black,Eliza Lee
Air Supply,Come To Me
Red Hot Chili Peppers,My Lovely Man
Don Moen,He Never Sleeps
Linkin Park,Wisdom Justice And Love
Indigo Girls,I Don't Know Your Name
Smiths,Stop Me If You Think You've Heard This One Before
Boney M.,Give It Up
Who,Heat Wave
Genesis,Can-Utility And The Coastliners
Heart,Dog And Butterfly
Bryan White,Heaven Sent
America,The Last Unicorn
Gloria Gaynor,I Want To Know What Love Is
Reo Speedwagon,Start A New Life
Christmas Songs,On Christmas Morning
Josh Groban,There For Me
Patsy Cline,You Took Him Off My Hands
Pat Benatar,Hit Me With Your Best Shot
Rihanna,What's My Name
Ultravox,A Friend I Call Desire
Counting Crows,Miller's Angels
Linkin Park,Giving In
Tina Turner,I Will Be There
Air Supply,I Wanna Hold You Tonight
Oingo Boingo,Controller
Lionel Richie,I Hear Your Voice
Donna Summer,Faster And Faster To Nowhere
Blur,Let's All Go Down The Strand
Scorpions,My City My Town
Whitesnake,Blindman
Donna Summer,Breath Of Heaven
John Denver,Junk
Doobie Brothers,There's A Light
Marianne Faithfull,Summer Nights
Billie Holiday,"Gee Baby, Ain't I Good To You?"
The Monkees,Dream World
Fall Out Boy,The Pros And Cons Of Breathing
Boney M.,Oceans Of Fantasy
Leann Rimes,Fade To Blue
Styx,Put Me On
Lionel Richie,Tender Heart
Phil Collins,Take Me With You
Yoko Ono,Dogtown
Zac Brown Band,Sic 'Em On A Chicken
Train,Following Rita
James Taylor,That Lonesome Road
You Am I,Please Don't Ask Me To Smile
Journey,Like A Sunshower
Eurythmics,St. Valentine's Day
Gloria Estefan,Love Toy
Roxette,Better Off On Her Own
Ying Yang Twins,Them Braves
Lady Gaga,Teeth
Randy Travis,O How I Love Jesus
Waylon Jennings,I Got You
Gloria Estefan,Don't Look Back On Love
Scorpions,Restless Nights
Elvis Presley,"Big Love, Big Heartache"
Randy Travis,Everything And All
Helloween,I Live For Your Pain
Tom Jones,Fool For Rock 'N' Roll
Natalie Cole,Gotta Serve Somebody
ZZ Top,Woke Up With Wood
Andy Williams,It Had To Be You
Misfits,Mephisto Waltz
Ellie Goulding,I Do What I Love
Stone Temple Pilots,Bi-Polar Bear
John Legend,hang on in there
Judas Priest,Lost Love
Kris Kristofferson,Whatcha Gonna Do
Starship,Babylon
Yellowcard,Grey
Britney Spears,Hang Up
Lenny Kravitz,Rosemary
Genesis,Firth Of Fifth
Kylie Minogue,I Feel For You
Uriah Heep,I Won't Mind
Blur,I Love Her
U2,Staring At The Sun
Ian Hunter,Old Records Never Die
Garth Brooks,Mom
Quiet Riot,Killer Girls
Waylon Jennings,Gentle On My Mind
Bette Midler,Leader Of The Pack
Pitbull,Castles Made Of Sand
Electric Light Orchestra,Nellie Takes Her Bow
Rolling Stones,Dance (Pt 1)
Morrissey,Don't Make Fun Of Daddy's Voice
Selah,There Is Power In The Blood
Modern Talking,10 Seconds To Countdown 03:20
Robbie Williams,One For My Baby
John Denver,Boy From The Country
Hooverphonic,Out Of Sight
Misfits,March Of The Mega-Mites
David Allan Coe,Back To Atlanta
Journey,When I Think Of You
Kenny Loggins,The Bells Of Christmas
Beautiful South,The Next Verse
Nina Simone,Blue Prelude
Bob Seger,Jumpin' Humpin' Hipocrit
Deep Purple,Vavoom: Ted The Mechanic
Alphaville,Like Thunder
Procol Harum,The Wreck Of The Hesperus
Loretta Lynn,Satin Sheets
Culture Club,Colour By Numbers
Stevie Wonder,Smile Please
Amy Grant,I Will Be Your Friend
Travis,Something Anything
Elvis Presley,Edge Of Reality
Arlo Guthrie,When The Cactus Is In Bloom
Matt Redman,You Alone Can Rescue
Guided By Voices,Gleemer
Prince,7 (Album Version)
Drake,July
Bruce Springsteen,Heartbreak Hotel
Kenny Loggins,Whiskey
Cheap Trick,This Time You Got It
Bob Seger,Evil Edna
O.A.R.,James
Kenny Loggins,Love
Barbra Streisand,I Like Him
Train,Shake up Christmas
Cheap Trick,How About You
Garth Brooks,You Can't Help Who You Love
Linda Ronstadt,Damage
INXS,Golden Playpen
Pat Benatar,Tell Me
Eminem,Drips
Indigo Girls,Make This House A Home
Michael Jackson,Alright Now
Avril Lavigne,Too Much To Ask
Bing Crosby,Swingin' Down The Lane
Grateful Dead,Big River
Johnny Cash,Hank And Joe And Me
Tom Jones,After The Tears
John Mellencamp,Check It Out
Point Of Grace,Breath Of God
Ray Boltz,Fallen Not Forgotten
The Jam,I GOT BY IN TIME
Annie,I Don't Need Anything But You
Miley Cyrus,Every Rose Has Its Thorn
Slayer,Snuff
Housemartins,Sitting On A Fence
Pogues,The Sun And The Moon
The Temptations,Born To Love You
Counting Crows,Possibility Days
Uriah Heep,The Wizard
John McDermott,Song For The Mira
Beautiful South,You And Your Big Ideas
Great Big Sea,Lukey
Waterboys,The Return Of Jimi Hendrix
Reo Speedwagon,The Heart Survives
"Harry Connick, Jr.",Blue Christmas
Joni Mitchell,Ladies Of The Canyon
Uriah Heep,Perfect Little Heart
Hollies,Hello To Romance
Chuck Berry,Betty Jean
David Bowie,Lady Stardust
Fabolous,Get Smart
Ramones,I Don't Want You
George Harrison,Something
Ne-Yo,My Diamond
Rascal Flatts,Lean On Me
Lorde,400 Lux
Michael Bolton,Next Lifetime
Ingrid Michaelson,Girls Chase Boys
Indiana Bible College,Washed In The Blood
Natalie Cole,Jump Start
Kylie Minogue,My Secret Heart
Chuck Berry,One For My Baby (And One More For The Road)
Status Quo,No Problems
Youth Of Today,Thinking Straight
Hank Williams Jr.,Greeted In Enid
Nazareth,Too Bad Too Sad
Dean Martin,For Me And The Gal
Radiohead,Cuttooth
Doris Day,I Had The Craziest Dream
Grateful Dead,Cosmic Charlie
Annie,Something Was Missing
George Harrison,A Hard Rain's Gonna Fall
Chicago,I Saw Three Ships
Death,Perennial Quest
Deep Purple,Sometimes I Feel Like Screaming
Frankie Goes To Hollywood,Welcome To The Pleasuredome
Alice In Chains,King Of The Kats
Nick Cave,Knoxville Girl
Dan Fogelberg,Illinois
Cher,Dead Ringer For Love
Andy Williams,Home Lovin' Man
Def Leppard,Medicine Man
Insane Clown Posse,Bury Me Alive
Kate Bush,In Search Of Peter Pan
Hillsong United,Lead Me To The Cross
Jimmy Buffett,Christmas In The Caribbean
Tim McGraw,Southern Voice
Bob Marley,Jah Live
John Denver,Amazon
Hank Williams Jr.,I Fought The Law
Planetshakers,All That I Want
Miley Cyrus,If We Were A Movie
David Bowie,I Have Not Been To Oxford Town
Fabolous,In The Morning
Coldplay,Lhuna
LL Cool J,Strictly Business
Ingrid Michaelson,I'll See You In My Dreams
Randy Travis,No Stoppin' Us Now
Nat King Cole,Only Forever
Iggy Pop,The Passenger
Donna Summer,Rumour Has It
Johnny Cash,I Call Him
Electric Light Orchestra,Big Chief Woolley Bosher
Emmylou Harris,Hello Stranger
Garth Brooks,Mr. Blue
Harry Belafonte,The Fox
George Harrison,Badge
Yngwie Malmsteen,Prisoner Of Your Love
Kelly Family,What If Love...
Katy Perry,Ur So Stupid
Queensryche,Child Of Fire
David Bowie,Leon Takes Us Outside
Pretenders,Tattooed Love Boys
Great Big Sea,Let It Go
Green Day,I Want To Be On Tv
U2,I'll Go Crazy If I Don't Go Crazy Tonight
Linkin Park,And One
Hillsong,He Is Lord
Les Miserables,Night Of Anguish
O-Zone,Oriunde Ai Fi
Nazareth,Desolation Road
Red Hot Chili Peppers,Green Heaven
Cher,Apples Don't Fall Far From The Tree
Nat King Cole,A Portrait Of Jennie
Vonda Shepard,Silver Bells
Cinderella,Shelter Me
Justin Bieber,Sup
Gary Numan,Telekon
Kenny Rogers,My Washington Woman
Johnny Cash,A Thing Called Love
Tracy Chapman,Crossroads
Amy Grant,Have Yourself A Merry Little Christmas
Bob Dylan,Dark Eyes
Hillsong United,Glory To The King
Chris Rea,Do You Still Dream?
Hank Williams,Mind Your Own Business
Nickelback,If Today Was Your Last Day
David Bowie,Absolute Beginners
Sublime,Paddle Out
Bryan White,Call Me Crazy
Usher,U Remind Me
Roy Orbison,In The Real World
Marilyn Manson,Highway To Hell
Emmylou Harris,Heaven Only Knows
Nazareth,Sweet Little Rock And Roller
Uriah Heep,Dreammare
Kenny Rogers,I Trust You
Robbie Williams,Better Man
Kylie Minogue,Spinning Around
R. Kelly,Elsewhere
John Legend,Someday
Judy Garland,Snooky Ookums
Tori Amos,Mr. Zebra
Point Of Grace,He Holds Everything
Scorpions,Make It Real
Xavier Rudd,Journey Song
Red Hot Chili Peppers,I Know Where I'm Going
Hollies,Maybe Baby
Elton John,Healing Hands
Green Day,Sometimes I Don't Mind
Adam Sandler,Memory Lane
Grateful Dead,Mindbender
Marianne Faithfull,Prologue (The Seven Deadly Sins)
Modern Talking,Don't Take Away My Heart
Nat King Cole,Almost Like Being In Love
ABBA,S. O. S.
Our Lady Peace,Rabbits
Patti Smith,Gimme Shelter
Genesis,Time Table
Cheap Trick,Next Position Please
Dave Matthews Band,Everybody Wake Up
Engelbert Humperdinck,Dance With Me
Morrissey,All You Need Is Me
Emmylou Harris,Boulder To Birmingham
The Jam,The Bitterest Pill
Linda Ronstadt,Just Like Tom Thumb's Blues
Soundgarden,Zero Chance
Kelly Clarkson,Number One
Dusty Springfield,Love Shine Down
Incognito,That's The Way Of The World
Thin Lizzy,Southbound
Conway Twitty,Handy Man
Dusty Springfield,Broken Blossoms
Nicki Minaj,Chi-Raq
R. Kelly,Happy Summertime
Waylon Jennings,For Lovin' Me
Indiana Bible College,Every Chance I Get
Weezer,No Other One
Wang Chung,When Love Looks Back At You
Santana,Come To My World
LL Cool J,Shake It Baby
Kid Rock,New Orleans
Lou Reed,A Sheltered Life
NOFX,Idiots Are Taking Over
Michael W. Smith,Holy Holy
Bob Rivers,On A Horse With Hussein
Whitesnake,Young Blood
Reba Mcentire,Happy Birthday Jesus (I'll Open This One For You)
Point Of Grace,Drawing Me Closer
ZZ Top,Old Man
Nina Simone,Music For Lovers
Cole Porter,"Down In The Depths (On The Ninetieth Floor)- Ballard, Kaye"
Phish,Roses Are Free
Hillsong,"Jesus, Jesus"
Halloween,Old Andy Kay Keeter Snapoose
Pogues,Kitty
Kenny Chesney,Young
Santana,Evil Ways
Celine Dion,Carmen
Cliff Richard,Born To Rock'n'roll
Gipsy Kings,Pajarito
Pearl Jam,Comatose
Kid Rock,Rebel Soul
Celine Dion,Goodbye's
Zox,Starry Night
Youth Of Today,One Family
Chris Brown,Love Them Girls
Elton John,Breaking Hearts
Queen,Don't Lose Your Head
Keith Urban,You're Not My God
Sting,I Burn For You
Gucci Mane,Deuces Lyrics
Lady Gaga,I Hear Them
Green Day,80
Michael W. Smith,I Believe In You Now
Maroon 5,Must Get Out
Dean Martin,I Take Alot Of Pride In What I Am
Kenny Loggins,Wait A Little While
Elvis Presley,Black Star
Tom T. Hall,Strawberry Farms
Ozzy Osbourne,Flying High Again
Radiohead,True Love Waits
Cliff Richard,Lost In A Lonely World
Nazareth,Bad Bad Boy
Lucky Dube,It's Not Easy
Alice In Chains,Lesson Learned
Starship,No Way Out
Styx,The Serpent Is Rising
Koes Plus,Tangis Di Hati
System Of A Down,Nuguns
Next To Normal,The Break
Fabolous,"Everything, Everyday, Everywhere"
Hillsong,I Desire Jesus
Bob Marley,Baby I Love Your Way
Waylon Jennings,All Around Cowboy
Howard Jones,Elegy
Widespread Panic,Stop Go
Gary Valenciano,Lead Me Lord
Unwritten Law,Get Up
Talking Heads,And She Was
Xzibit,Bird's Eye View
Red Hot Chili Peppers,Tell Me Baby
Leonard Cohen,The Land Of Plenty
Helloween,Heavy Metal Hamsters
Evanescence,Sick
Jackson Browne,The Fairest Of The Seasons
Harry Belafonte,I Do Adore Her
Nine Inch Nails,Discipline
Bruce Springsteen,Living On The Edge Of The World
Stone Roses,What The World Is Waiting For
Ramones,Chasing The Night
Waylon Jennings,Farewell Party
Don McLean,Dreidel
Chicago,Nowadays
Sia,Little Man
Gordon Lightfoot,Only Love Would Know
Air Supply,Closer You And I
Marianne Faithfull,Over Here
Counting Crows,Have You Seen The Girl With Yellow Roses
Maroon 5,Lucky Strike
John Prine,Saigon
Peter Gabriel,Not One Of Us
Dire Straits,Lady Writer
Hanson,Lucy
Hank Williams Jr.,Moods Of Mary
You Am I,If We Can't Get It Together
Imagine Dragons,Every Night
Youngbloodz,Presidential
Talking Heads,Swamp
Glen Campbell,That's Not Home
Ray Charles,I'm Going Down The River
Dean Martin,Have A Little Sympathy
Fifth Harmony,Worth It
Whitney Houston,Anymore
Michael Jackson,Streetwalker
Louis Jordan,Reconversion Blues
Veruca Salt,Straight
Bob Seger,Tightrope
Linda Ronstadt,He Rode All The Way To Texas
Chris Rea,Sail Away
Roxette,No One Makes It On Her Own
Beautiful South,Old Red Eyes Is Back
Kinks,Live Life
Nat King Cole,Beale Street Blues
Perry Como,Bless This House
Steve Miller Band,Jackson-Kent Blues
Morrissey,The Father Who Must Be Killed
Leonard Cohen,Heart With No Companion
Our Lady Peace,Ordinary
Fleetwood Mac,No Questions Asked
Judds,Give A Little Love To Me
Hanson,Being Me
Kate Bush,Among Angels
Everlast,Let It Go
George Strait,Give It Away
Frank Sinatra,A Good Man Is Hard To Find
Cyndi Lauper,Put On Your Green Shoes
Tom T. Hall,The Carter Boys
Beautiful South,Without Her
Josh Groban,Somewhere
Depeche Mode,Barrel Of A Gun
Chaka Khan,Change Your Ways
Fabolous,Respect
Judy Garland,Friendship
Point Of Grace,One More Broken Heart
Guns N' Roses,The Blues
Slayer,Necrophobic
George Jones,Geronimo
Religious Music,Let It Be
ZZ Top,"I'm Bad, I'm Nationwide"
Metallica,The View
Scorpions,Is There Anybody There
Devo,Super Cop
Reba Mcentire,It Don't Matter
Van Halen,Without You
Nazareth,Talkin' To One Of The Boys
Linkin Park,Riff Raff
Elvis Presley,Frankie And Johnny
Nat King Cole,Destination Moon
Natalie Grant,In Better Hands
Bob Dylan,Bob Dylan's New Orleans Rag
Nitty Gritty Dirt Band,The Cure
Michael Bolton,What Are You Doing The Rest Of Your Life
Diana Ross,Back In My Arms Again
Wishbone Ash,Sorrel
Michael Bolton,The Second Time Around
Zox,Carolyn
Arlo Guthrie,Meditation (Wave Upon Wave)
Linkin Park,H! Vltg3
Vince Gill,Give Me The Highway
Judas Priest,In Between
Howard Jones,Tomorrow Is Now
Roy Orbison,Lana
Queen Adreena,Hide From Time
Flo-Rida,Rewind
Hank Williams,I'm So Tired Of It All
YG,BPT
Kylie Minogue,Love Affair
INXS,Black And White
Pretenders,When I Change My Life
Uriah Heep,Can't Stop Singing
George Jones,Borrowed Angel
Lil Wayne,Breakin' My Heart
Prince,3 Chains O' Gold
Quiet Riot,Inside You
Vince Gill,One Bright Star
Conway Twitty,Baby's Gone
Irving Berlin,I Never Had A Chance
Wet Wet Wet,Beyond The Sea
Allman Brothers Band,Hoochie Coochie Man
Justin Timberlake,Pose
